lhs,rhs,support,confidence,coverage,lift,count
sol_nu->eau,eau->sol_nu,0.010334758817308134,0.6467625899280576,0.01597921552398032,34.94446221904464,899
eau->sol_nu,sol_nu->eau,0.010334758817308134,0.5583850931677018,0.018508299995401666,34.94446221904464,899
vegetation_non_forestiere->vegetation_inondee,vegetation_inondee->vegetation_non_forestiere,0.010507196394905044,0.5310865775711795,0.0197843380696188,26.68871127080402,914
vegetation_inondee->vegetation_non_forestiere,vegetation_non_forestiere->vegetation_inondee,0.010507196394905044,0.5280184864240323,0.019899296454683406,26.68871127080402,914
vegetation_inondee->foret,foret->vegetation_inondee,0.011576309376005886,0.5339342523860021,0.021681151423184806,22.29758653219086,1007
cultures->vegetation_non_forestiere,vegetation_non_forestiere->cultures,0.061847611164758357,0.6176099184938583,0.10014024922977882,5.401090940981577,5380
vegetation_non_forestiere->cultures,cultures->vegetation_non_forestiere,0.061847611164758357,0.5408665929425958,0.1143491056237642,5.401090940981577,5380
sol_nu->cultures,cultures->vegetation_non_forestiere,0.01027727962477583,0.5218914185639228,0.019692371361567113,5.211604949837966,894
foret->vegetation_non_forestiere,vegetation_non_forestiere->foret,0.26793350807007865,0.5408535028891004,0.4953901687589093,1.2032368611881297,23307
vegetation_non_forestiere->foret,foret->vegetation_non_forestiere,0.26793350807007865,0.5960717117209279,0.4494987814411183,1.2032368611881297,23307
